"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 28 11:31:13 EET 2022","Fri Oct 28 11:31:28 EET 2022","14046","","About Us TC-001","","About Us TC-001","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video",""
"passed","Fri Oct 28 11:31:23 EET 2022","Fri Oct 28 11:31:25 EET 2022","2438","","Careers TC-002 --Not DONE","","Careers TC-002 --Not DONE","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""",""
"passed","Fri Oct 28 11:42:22 EET 2022","Fri Oct 28 11:42:31 EET 2022","8568","","Awards and nominations for 2022 year TC-003","","Awards and nominations for 2022 year TC-003","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards",""
"passed","Fri Oct 28 11:31:18 EET 2022","Fri Oct 28 11:31:20 EET 2022","2042","","Careers TC-002 --Not DONE","","Careers TC-002 --Not DONE","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""",""
"passed","Fri Oct 28 11:31:14 EET 2022","Fri Oct 28 11:31:17 EET 2022","2976","","Awards and nominations for 2022 year TC-003","","Awards and nominations for 2022 year TC-003","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards",""
"passed","Fri Oct 28 11:31:11 EET 2022","Fri Oct 28 11:31:13 EET 2022","1535","","Awards and nominations for 2022 year TC-003","","Awards and nominations for 2022 year TC-003","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards",""
"passed","Fri Oct 28 11:31:18 EET 2022","Fri Oct 28 11:31:20 EET 2022","2668","","Careers TC-002 --Not DONE","","Careers TC-002 --Not DONE","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""",""
"passed","Fri Oct 28 11:42:33 EET 2022","Fri Oct 28 11:42:34 EET 2022","1642","","Careers TC-002 --Not DONE","","Careers TC-002 --Not DONE","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""",""
"passed","Fri Oct 28 11:42:22 EET 2022","Fri Oct 28 11:42:41 EET 2022","18628","","About Us TC-001","","About Us TC-001","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video",""
"passed","Fri Oct 28 11:31:11 EET 2022","Fri Oct 28 11:31:25 EET 2022","14108","","About Us TC-001","","About Us TC-001","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video",""
"passed","Fri Oct 28 11:42:32 EET 2022","Fri Oct 28 11:42:34 EET 2022","1610","","Careers TC-002 --Not DONE","","Careers TC-002 --Not DONE","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""","Video ""Meet the telnyx team"" should be displayed at the top of the page. The ""The Telnyx experience"" should include the following headings: ""Flexible, global team"", ""Modern life, modern space"", ""Helping you grow"", ""We have fun too!""",""
"passed","Fri Oct 28 11:42:22 EET 2022","Fri Oct 28 11:42:40 EET 2022","17760","","About Us TC-001","","About Us TC-001","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video",""
"passed","Fri Oct 28 11:31:11 EET 2022","Fri Oct 28 11:31:14 EET 2022","3123","","Awards and nominations for 2022 year TC-003","","Awards and nominations for 2022 year TC-003","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards",""
"passed","Fri Oct 28 11:31:11 EET 2022","Fri Oct 28 11:31:26 EET 2022","14507","","About Us TC-001","","About Us TC-001","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video","Under the headline ""Unlocking the power of intelligent connectivity"" should be the video",""
"passed","Fri Oct 28 11:42:22 EET 2022","Fri Oct 28 11:42:31 EET 2022","8625","","Awards and nominations for 2022 year TC-003","","Awards and nominations for 2022 year TC-003","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards","Under the heading text ""Momentum leader and highest satisfaction in G2 CPaaS grid"" should be a list of awards",""
